crawl_type,area_code,area_name,area_key,publish_organization,start_index_urls,
1,520000,贵州省,guizhou,贵州人力资源社会保障网,http://rst.guizhou.gov.cn/gzdt/xwdt/index.html,
-1,520100,贵阳市,guiyang,贵阳人力资源和社会保障网,http://rsj.guiyang.gov.cn/zxzx/zxzxgzdt/zxzxgzdtyw/index.html$$http://rsj.guiyang.gov.cn/dwgk4036/dwgk4036dwgknr/dwgk4036dwgknrgzdt/index.html,
-1,520200,六盘水市,liupanshui,贵州人力资源社会保障网,http://hrss.gzlps.gov.cn/gzdt_42000/gzdt/index.html,
-1,520300,遵义市,zunyi,遵义市人力资源和社会保障局,http://rsj.zunyi.gov.cn/gzdt/ywdt/index.html,
-1,520400,安顺市,anshun,安顺市人力资源社会保障局,http://rsj.anshun.gov.cn/gzdt/xwdt/index.html,
-1,522200,铜仁地区,tongren,铜仁人力资源社会保障网,http://rsj.trs.gov.cn/gzdt/xwdt/index.html,
-1,522300,黔西南布依族苗族自治州,qianxinan,,
-1,522400,毕节市,bijie,毕节市人力资源和社会保障局,http://rsj.bijie.gov.cn/gzdt/index.html,
-1,522600,黔东南苗族侗族自治州,qiandongnan,黔东南州人力资源和社会保障局,http://rsj.qdn.gov.cn/gzdt/xwdt/index.html,
-1,522700,黔南布依族苗族自治州,qiannan,黔南人力资源社会保障局,http://rsj.qiannan.gov.cn/gzdt/index.html,
